Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
HM000089,42,Female,Winter Coat,Outerwear,87.79,New York,S,Burgundy,Fall,4.7,Yes,Store Pickup,15%,WELCOME10,4,Gift Card,Annually
HM000090,28,Female,Flats,Footwear,85.73,San Antonio,XL,Black,Summer,4.6,Yes,Store Pickup,None,None,8,PayPal,Quarterly
HM000091,63,Male,Leggings,Clothing,54.91,Los Angeles,M,Olive,Fall,3.8,No,Standard,15%,NEWYEAR15,5,Klarna,Quarterly
HM000092,60,Female,Backpack,Accessories,25.67,New York,One Size,White,Winter,3.6,Yes,Standard,None,None,22,Apple Pay,Weekly
HM000093,67,Male,Puffer Jacket,Outerwear,116.13,Denver,XL,Red,Winter,3.3,No,Next Day,15%,FREESHIP,4,PayPal,Annually
HM000094,21,Female,Skirt,Clothing,55.87,Los Angeles,XL,Burgundy,Fall,3.6,Yes,Next Day,None,None,15,Debit Card,Bi-weekly
HM000095,28,Male,Dress,Clothing,42.92,Philadelphia,L,Blue,Fall,4.9,No,Standard,30%,FREESHIP,0,Gift Card,Rarely
HM000096,51,Male,Puffer Jacket,Outerwear,124.98,Las Vegas,XL,Brown,Summer,4.7,No,Next Day,30%,FREESHIP,2,Gift Card,Annually
HM000097,21,Male,Dress,Clothing,37.01,Houston,L,Purple,Winter,3.1,No,Next Day,None,None,14,Google Pay,Monthly
HM000098,40,Male,Joggers,Clothing,68.73,San Diego,XL,Red,Spring,3.5,Yes,Standard,None,None,16,PayPal,Bi-weekly
HM000099,57,Female,Loafers,Footwear,83.88,San Antonio,XXL,Red,Spring,4.4,Yes,Store Pickup,None,None,0,Google Pay,Rarely
HM000100,51,Male,Trench Coat,Outerwear,118.75,Jacksonville,S,Navy,Winter,3.4,No,Express,25%,SUMMER20,12,PayPal,Monthly
HM000101,41,Male,Loafers,Footwear,53.41,Chicago,S,Cream,Summer,4.0,No,Store Pickup,20%,FREESHIP,5,Credit Card,Quarterly
HM000102,20,Female,Trench Coat,Outerwear,121.50,San Antonio,S,Navy,Fall,2.9,No,Express,None,None,6,Apple Pay,Quarterly
HM000103,63,Male,Chinos,Clothing,26.38,Boston,M,Purple,Fall,3.1,Yes,Next Day,25%,WELCOME10,21,Gift Card,Weekly
HM000104,56,Male,Watch,Accessories,29.26,Portland,One Size,Purple,Spring,2.8,No,Next Day,30%,FALL15,5,Apple Pay,Quarterly
HM000105,25,Female,Denim Jacket,Outerwear,71.60,Detroit,L,Yellow,Spring,4.1,No,Express,None,None,1,Apple Pay,Rarely
HM000106,22,Female,Belt,Accessories,15.68,Los Angeles,One Size,Pink,Winter,4.8,Yes,Store Pickup,None,None,2,Klarna,Annually
HM000107,53,Female,Backpack,Accessories,15.15,Philadelphia,One Size,Burgundy,Winter,4.0,No,Express,None,None,9,PayPal,Quarterly
HM000108,66,Male,Sunglasses,Accessories,31.67,Los Angeles,One Size,Burgundy,Spring,4.5,No,Express,20%,STUDENT10,9,PayPal,Quarterly
HM000109,29,Female,Blazer,Clothing,26.27,Los Angeles,XXL,Blue,Summer,3.4,Yes,Next Day,25%,MEMBER25,22,Apple Pay,Weekly
HM000110,28,Female,Wallet,Accessories,13.55,Los Angeles,One Size,Pink,Summer,3.7,Yes,Standard,15%,FREESHIP,12,PayPal,Monthly
HM000111,56,Male,Basic T-Shirt,Clothing,29.87,Dallas,XL,Green,Spring,3.9,No,Standard,15%,WELCOME10,8,PayPal,Quarterly
HM000112,41,Female,Watch,Accessories,27.58,Houston,One Size,Black,Summer,3.8,No,Store Pickup,10%,FLASH25,11,Credit Card,Monthly
HM000113,28,Male,Jeans,Clothing,23.37,Las Vegas,L,Cream,Fall,3.6,No,Next Day,10%,FREESHIP,10,Credit Card,Monthly
HM000114,41,Male,Watch,Accessories,45.71,Chicago,One Size,Pink,Fall,3.3,Yes,Standard,None,None,8,Apple Pay,Quarterly
HM000115,37,Female,Bomber Jacket,Outerwear,59.77,Jacksonville,S,Navy,Spring,5.0,Yes,Store Pickup,25%,SAVE30,11,Credit Card,Monthly
HM000116,57,Male,Dress Shirt,Clothing,38.50,Seattle,L,Black,Summer,4.3,No,Store Pickup,None,None,14,Klarna,Monthly
HM000117,65,Male,Parka,Outerwear,56.69,Phoenix,XS,Burgundy,Spring,3.3,No,Express,20%,STUDENT10,2,PayPal,Annually
HM000118,20,Male,Loafers,Footwear,39.24,San Antonio,S,Olive,Fall,2.6,Yes,Standard,30%,SUMMER20,2,Credit Card,Annually
HM000119,59,Female,Sunglasses,Accessories,19.22,Los Angeles,One Size,White,Fall,3.3,Yes,Express,20%,MEMBER25,16,Debit Card,Bi-weekly
HM000120,58,Male,Sneakers,Footwear,44.89,Atlanta,S,Navy,Fall,3.9,No,Express,None,None,3,Credit Card,Annually
HM000121,55,Female,Belt,Accessories,15.97,New York,One Size,Beige,Summer,5.0,No,Store Pickup,25%,FLASH25,10,PayPal,Monthly
HM000122,41,Female,Winter Coat,Outerwear,66.31,Phoenix,L,Beige,Fall,1.2,No,Standard,25%,FREESHIP,3,Gift Card,Annually
HM000123,26,Female,Sandals,Footwear,41.62,Portland,M,Red,Winter,4.5,Yes,Next Day,None,None,22,Credit Card,Weekly
HM000124,49,Male,Belt,Accessories,9.70,Philadelphia,One Size,Brown,Fall,3.1,No,Next Day,10%,FLASH25,6,Credit Card,Quarterly
HM000125,43,Female,Trench Coat,Outerwear,106.55,Boston,M,White,Fall,4.1,Yes,Store Pickup,30%,FALL15,2,Debit Card,Annually
HM000126,63,Female,Trench Coat,Outerwear,168.92,Las Vegas,XS,Blue,Fall,3.9,No,Next Day,None,None,1,Klarna,Rarely
HM000127,37,Male,Sweater,Clothing,36.56,Denver,XXL,Black,Summer,3.6,No,Express,20%,FREESHIP,10,Klarna,Monthly
HM000128,20,Male,Trench Coat,Outerwear,171.86,San Diego,XS,Burgundy,Spring,3.4,Yes,Next Day,None,None,0,Credit Card,Rarely
HM000129,27,Male,Dress,Clothing,61.09,Boston,XL,Cream,Winter,3.4,Yes,Store Pickup,None,None,8,Gift Card,Quarterly
HM000130,53,Female,Tank Top,Clothing,61.37,San Antonio,L,Black,Fall,3.7,No,Standard,10%,FLASH25,10,Gift Card,Monthly
HM000131,49,Female,Running Shoes,Footwear,91.55,Seattle,L,Purple,Spring,3.5,No,Next Day,None,None,3,Credit Card,Annually
HM000132,54,Male,Puffer Jacket,Outerwear,97.69,Phoenix,S,Green,Winter,4.8,Yes,Next Day,20%,FREESHIP,3,Credit Card,Annually
HM000133,44,Female,Boots,Footwear,97.12,Chicago,XL,Navy,Summer,3.6,No,Standard,10%,FALL15,5,Apple Pay,Quarterly
HM000134,60,Male,Bomber Jacket,Outerwear,134.61,San Diego,XXL,White,Summer,4.5,No,Express,20%,MEMBER25,7,PayPal,Quarterly
HM000135,64,Male,Chinos,Clothing,32.51,Denver,M,Navy,Fall,4.0,No,Standard,20%,STUDENT10,7,Debit Card,Quarterly
HM000136,65,Male,Ankle Boots,Footwear,46.55,Phoenix,M,Pink,Fall,4.6,No,Express,10%,FALL15,7,PayPal,Quarterly
HM000137,30,Male,Denim Jacket,Outerwear,71.23,Portland,XS,Cream,Summer,1.0,No,Store Pickup,30%,MEMBER25,13,Google Pay,Monthly
HM000138,32,Female,Heels,Footwear,42.94,San Antonio,XL,Pink,Winter,1.9,No,Next Day,30%,WELCOME10,11,Google Pay,Monthly
HM000139,23,Female,Sandals,Footwear,62.54,Phoenix,XXL,Purple,Summer,3.8,Yes,Next Day,20%,NEWYEAR15,24,Credit Card,Weekly
HM000140,43,Male,Trench Coat,Outerwear,114.22,Portland,XL,Cream,Winter,4.6,Yes,Store Pickup,25%,WELCOME10,4,Credit Card,Annually
HM000141,45,Male,Belt,Accessories,12.93,Los Angeles,One Size,Purple,Spring,3.4,No,Store Pickup,30%,FALL15,2,PayPal,Annually
HM000142,28,Male,Heels,Footwear,83.54,Denver,L,Red,Summer,4.1,No,Standard,30%,SUMMER20,0,Credit Card,Rarely
HM000143,24,Male,Wallet,Accessories,16.52,Portland,One Size,Blue,Summer,3.9,No,Express,30%,SUMMER20,4,PayPal,Annually
HM000144,50,Male,Bag,Accessories,44.47,Philadelphia,One Size,Cream,Fall,4.4,No,Store Pickup,None,None,12,Credit Card,Monthly
HM000145,22,Male,Hoodie,Clothing,33.57,Los Angeles,XXL,White,Fall,4.2,No,Store Pickup,30%,MEMBER25,6,Google Pay,Quarterly
HM000146,19,Female,Bomber Jacket,Outerwear,138.34,Detroit,XL,Red,Spring,3.6,No,Express,15%,WELCOME10,8,Gift Card,Quarterly
HM000147,46,Female,Hat,Accessories,22.85,Chicago,One Size,Gray,Spring,3.4,No,Next Day,30%,STUDENT10,9,Credit Card,Quarterly
HM000148,59,Female,Watch,Accessories,25.15,Houston,One Size,Red,Spring,3.2,No,Store Pickup,None,None,5,Debit Card,Quarterly
HM000149,63,Female,Sandals,Footwear,98.59,Seattle,L,Olive,Summer,4.6,No,Store Pickup,15%,NEWYEAR15,5,Credit Card,Quarterly
HM000150,24,Male,Loafers,Footwear,56.66,Seattle,M,Blue,Spring,3.8,Yes,Express,10%,FLASH25,15,Apple Pay,Bi-weekly
HM000151,36,Male,Belt,Accessories,31.44,Atlanta,One Size,Burgundy,Winter,1.4,Yes,Next Day,None,None,2,Credit Card,Annually
HM000152,26,Male,Backpack,Accessories,40.40,Philadelphia,One Size,Yellow,Winter,3.8,No,Store Pickup,15%,FALL15,14,Credit Card,Monthly
HM000153,64,Male,Sweater,Clothing,53.44,New York,L,Burgundy,Spring,4.5,No,Standard,15%,SUMMER20,9,Apple Pay,Quarterly
HM000154,39,Female,Puffer Jacket,Outerwear,115.23,Boston,S,White,Winter,2.7,No,Express,30%,WELCOME10,13,Credit Card,Monthly
HM000155,45,Female,Cardigan,Clothing,15.84,San Antonio,S,Gray,Summer,4.4,Yes,Express,30%,FLASH25,6,Gift Card,Quarterly
HM000156,57,Female,Bomber Jacket,Outerwear,159.57,Philadelphia,S,Burgundy,Spring,3.3,No,Next Day,None,None,2,Debit Card,Annually
HM000157,64,Male,Sweater,Clothing,25.36,Chicago,S,Gray,Spring,3.7,No,Standard,10%,FALL15,7,PayPal,Quarterly
HM000158,41,Male,Bomber Jacket,Outerwear,126.85,Denver,XS,Black,Winter,4.1,Yes,Next Day,None,None,8,Debit Card,Quarterly
HM000159,47,Female,Belt,Accessories,39.70,Los Angeles,One Size,Red,Fall,3.6,No,Express,None,None,3,Credit Card,Annually
HM000160,22,Male,Scarf,Accessories,44.42,New York,One Size,Beige,Fall,3.2,Yes,Next Day,None,None,13,Apple Pay,Monthly
HM000161,66,Male,Ankle Boots,Footwear,89.86,Houston,M,Red,Summer,4.0,Yes,Next Day,25%,STUDENT10,19,Apple Pay,Bi-weekly
HM000162,41,Female,Joggers,Clothing,18.65,San Jose,XS,Olive,Spring,4.2,No,Store Pickup,30%,FALL15,4,Klarna,Annually
HM000163,63,Female,Scarf,Accessories,11.27,Seattle,One Size,Red,Spring,3.4,No,Standard,None,None,7,PayPal,Quarterly
HM000164,33,Male,Hat,Accessories,18.90,New York,One Size,Yellow,Fall,4.9,Yes,Store Pickup,25%,FLASH25,18,Debit Card,Bi-weekly
HM000165,46,Male,Puffer Jacket,Outerwear,73.94,Denver,M,Navy,Summer,1.5,No,Standard,30%,MEMBER25,8,Credit Card,Quarterly
HM000166,66,Male,Jewelry,Accessories,20.97,Boston,One Size,Beige,Fall,3.1,Yes,Express,10%,MEMBER25,22,Klarna,Weekly
HM000167,32,Female,Jeans,Clothing,45.53,Philadelphia,S,Blue,Fall,2.8,Yes,Standard,25%,FLASH25,13,Google Pay,Monthly
HM000168,29,Female,Chinos,Clothing,38.00,Phoenix,L,Purple,Summer,1.1,No,Store Pickup,20%,MEMBER25,2,Debit Card,Annually
HM000169,59,Male,Running Shoes,Footwear,69.72,Denver,XS,Burgundy,Winter,1.9,No,Store Pickup,None,None,13,Debit Card,Monthly
HM000170,54,Male,Chinos,Clothing,27.84,New York,XL,Olive,Summer,4.6,Yes,Express,10%,WELCOME10,12,Debit Card,Monthly
HM000171,45,Female,Handbag,Accessories,13.65,Dallas,One Size,White,Summer,2.5,Yes,Standard,20%,SUMMER20,4,Debit Card,Annually
HM000172,33,Female,Running Shoes,Footwear,68.37,Los Angeles,XXL,Green,Fall,3.7,Yes,Express,None,None,8,PayPal,Quarterly
HM000173,20,Male,Trench Coat,Outerwear,76.09,Chicago,L,Blue,Winter,3.2,Yes,Next Day,30%,STUDENT10,4,Gift Card,Annually
HM000174,19,Female,Skirt,Clothing,48.24,Miami,S,Cream,Winter,1.5,No,Express,25%,MEMBER25,2,PayPal,Annually
HM000175,23,Male,Handbag,Accessories,13.75,Boston,One Size,Navy,Summer,4.0,Yes,Store Pickup,25%,FREESHIP,10,Google Pay,Monthly
HM000176,21,Female,Polo Shirt,Clothing,18.52,Houston,L,Red,Winter,4.8,Yes,Express,15%,FREESHIP,14,Debit Card,Monthly
HM000177,36,Female,Dress,Clothing,46.78,Chicago,XS,Yellow,Winter,4.9,No,Express,None,None,13,Debit Card,Monthly
HM000178,67,Male,Boots,Footwear,68.07,Seattle,XXL,Yellow,Spring,4.8,No,Store Pickup,20%,SAVE30,5,Klarna,Quarterly
HM000179,44,Female,Winter Coat,Outerwear,161.13,Jacksonville,S,White,Winter,4.8,No,Standard,None,None,14,Gift Card,Monthly
HM000180,22,Female,Heels,Footwear,106.33,New York,XL,Purple,Spring,5.0,Yes,Standard,None,None,22,Gift Card,Weekly
HM000181,23,Male,Sneakers,Footwear,58.80,Denver,S,Yellow,Summer,4.8,No,Express,20%,FREESHIP,5,Klarna,Quarterly
HM000182,50,Male,Sunglasses,Accessories,21.45,Phoenix,One Size,Beige,Winter,4.0,No,Store Pickup,10%,FALL15,2,Gift Card,Annually
HM000183,25,Male,Ankle Boots,Footwear,43.67,Phoenix,XXL,White,Spring,3.8,Yes,Store Pickup,30%,FREESHIP,3,Klarna,Annually
HM000184,41,Female,Watch,Accessories,25.74,San Jose,One Size,Brown,Fall,3.1,Yes,Express,15%,FLASH25,6,Google Pay,Quarterly
HM000185,30,Male,Scarf,Accessories,12.00,New York,One Size,Yellow,Fall,5.0,No,Next Day,None,None,10,Apple Pay,Monthly
HM000186,42,Male,Winter Coat,Outerwear,88.05,San Jose,XL,Blue,Winter,3.3,Yes,Express,None,None,8,PayPal,Quarterly
HM000187,48,Female,Puffer Jacket,Outerwear,155.87,San Antonio,XL,Black,Summer,3.4,No,Express,None,None,8,Debit Card,Quarterly
